balls,strikes,pitches,swings,swing_pct
0,0,185544,53433,0.2879802095459837
0,1,92385,43740,0.47345348270823184
0,2,47101,24126,0.5122184242372774
1,0,72862,30410,0.4173643325739068
1,1,74051,39548,0.5340643610484666
1,2,69116,39798,0.5758145726025812
2,0,25369,10592,0.41751744254799167
2,1,38584,22515,0.5835320340037321
2,2,59347,38512,0.6489291792339966
3,0,8433,813,0.09640697260761295
3,1,16109,8961,0.5562728909305358
3,2,35551,25699,0.722876993614807
